"Gene","Global","Intra","CellType"
"SPIDR",0.625037232655995,0.370569237165201,"macrophage"
"SPN",0.73794356693565,0.151311996833554,"macrophage"
"SPTLC2",1.23520099460377,2.69456489927661,"macrophage"
"SRGAP2",0.426313932517412,0.665743838828803,"macrophage"
"STAB1",0.31128998301765,292786576.211572,"macrophage"
"STAG3L3",0.177556794709175,0.0455724732047882,"macrophage"
"SUGP2",1.24713457970931,0.317252476668102,"macrophage"
"SULT1A3",4291405990860928,31892627130881340,"macrophage"
"SYK",2.04394750486419,41479822.8734258,"macrophage"
"SYNE3",0.396527374011054,0.237326216526942,"macrophage"
"TAF10",0.761696920433216,1832145784357.72,"macrophage"
"TBC1D10C",0.599773999771575,0.133028626896199,"macrophage"
"TBX21",39637405122181096,NA,"macrophage"
"TBXAS1",0.790857383705333,75104486110.5133,"macrophage"
"TCOF1",0.482815753216134,0.177495520688069,"macrophage"
"TET2",1.21519818754674,1.3123138746936,"macrophage"
"TFEB",0.301741043937459,0.353641455872917,"macrophage"
"TFEC",0.408334183115465,0.684095615665475,"macrophage"
"TLR4",0.378901790113513,1.21498150959403,"macrophage"
"TMC8",0.498656917647173,0.113407170837142,"macrophage"
"TMEM107",0.463080600907153,0.214386903631722,"macrophage"
"TMEM170B",0.186255432010683,1659512974053.96,"macrophage"
"TMIGD2",11319176247897406,NA,"macrophage"
"TMPO-AS1",8317450822027600,541719046.989854,"macrophage"
"TNFAIP8L2",0.170905944567625,10247243416949796,"macrophage"
"TNFSF13",2768524451785809,479322856.676008,"macrophage"
"TNRC18",0.728116614281267,1.31702814954836,"macrophage"
"TPTEP2",0.121201041234135,35106435109.8397,"macrophage"
"TRAPPC5",0.0828267315666004,4849860452112772,"macrophage"
"TRIM14",0.437225350264115,0.460548934411549,"macrophage"
"TSPAN32",0.0726003368112171,66400577847.7996,"macrophage"
"TTC7A",0.35411931320032,0.358631190991302,"macrophage"
"TXK",0.132056008279371,NA,"macrophage"
"TXLNGY",0.629813951971537,0.0673138047419844,"macrophage"
"TYK2",0.399141683390338,0.430555024512946,"macrophage"
"UBXN11",0.244965504249532,0.895440965791445,"macrophage"
"UNC13D",0.437544918123623,0.31301539489539,"macrophage"
"UNC93B1",0.54286160948257,1.36890565117797,"macrophage"
"USP24",0.683492347729922,0.157858299796892,"macrophage"
"USP28",0.154105905254244,0.0597807453399745,"macrophage"
"USP9Y",0.209613084761395,0.0254822128875344,"macrophage"
"UTY",0.441509777723531,0.110198888940103,"macrophage"
